0006.000000, 0006.000000, 0000.000000, 0000.000000, 0001.000000, 0000.000000
0005.990049, 0006.045161, -000.055111, 0001.000000, 0001.000000, 0000.048000
0005.958559, 0006.044784, -000.086226, 0001.000000, 0002.000000, 0000.098000
0005.905623, 0006.028813, -000.123190, 0001.000000, 0003.000000, 0000.148000
0005.831434, 0005.996305, -000.164871, 0001.000000, 0004.000000, 0000.198000
0005.736258, 0005.951731, -000.215473, 0001.000000, 0005.000000, 0000.248000
0005.620438, 0005.890090, -000.269653, 0001.000000, 0006.000000, 0000.298000
0005.484390, 0005.813091, -000.328701, 0001.000000, 0007.000000, 0000.348000
0005.328604, 0005.712865, -000.384261, 0001.000000, 0008.000000, 0000.398000
0005.153641, 0005.597871, -000.444230, 0001.000000, 0009.000000, 0000.448000
0004.960130, 0005.456572, -000.496442, 0001.000000, 0010.000000, 0000.498000
0004.748769, 0005.300493, -000.551725, 0001.000000, 0011.000000, 0000.548000
0004.520317, 0005.118570, -000.598254, 0001.000000, 0012.000000, 0000.598000
0004.275596, 0004.921964, -000.646367, 0001.000000, 0013.000000, 0000.648000
0004.015488, 0004.702055, -000.686567, 0001.000000, 0014.000000, 0000.698000
0003.740929, 0004.469738, -000.728809, 0001.000000, 0015.000000, 0000.748000
0003.452906, 0004.218616, -000.765709, 0001.000000, 0016.000000, 0000.798000
0003.152457, 0003.961408, -000.808951, 0001.000000, 0017.000000, 0000.848000
0002.840662, 0003.683289, -000.842626, 0001.000000, 0018.000000, 0000.898000
0002.518644, 0003.385588, -000.866944, 0001.000000, 0019.000000, 0000.948000
0002.187562, 0003.080100, -000.892538, 0001.000000, 0020.000000, 0000.998000
0001.848606, 0002.766678, -000.918071, 0001.000000, 0021.000000, 0001.048000
0001.502998, 0002.439123, -000.936125, 0001.000000, 0022.000000, 0001.098000
0001.151980, 0002.101852, -000.949871, 0001.000000, 0023.000000, 0001.148000
0000.796817, 0001.755354, -000.958537, 0001.000000, 0024.000000, 0001.198000
0000.438786, 0001.404840, -000.966054, 0001.000000, 0025.000000, 0001.248000
0000.079176, 0001.053154, -000.973979, 0001.000000, 0026.000000, 0001.298000
-000.280720, 0000.695264, -000.975984, 0001.000000, 0027.000000, 0001.348000
-000.639604, 0000.334686, -000.974290, 0001.000000, 0028.000000, 0001.398000
-000.996187, -000.026570, -000.969617, 0001.000000, 0029.000000, 0001.448000
-001.349185, -000.386708, -000.962477, 0001.000000, 0030.000000, 0001.498000
-001.697327, -000.745517, -000.951810, 0001.000000, 0031.000000, 0001.548000
-002.039361, -001.100579, -000.938782, 0001.000000, 0032.000000, 0001.598000
-002.374055, -001.452780, -000.921275, 0001.000000, 0033.000000, 0001.648000
-002.700205, -001.799407, -000.900798, 0001.000000, 0034.000000, 0001.698000
-003.016638, -002.140268, -000.876369, 0001.000000, 0035.000000, 0001.748000
-003.322213, -002.473951, -000.848262, 0001.000000, 0036.000000, 0001.798000
-003.615833, -002.798057, -000.817775, 0001.000000, 0037.000000, 0001.848000
-003.896439, -003.113648, -000.782791, 0001.000000, 0038.000000, 0001.898000
-004.163022, -003.416475, -000.746548, 0001.000000, 0039.000000, 0001.948000
-004.414623, -003.708391, -000.706231, 0001.000000, 0040.000000, 0001.998000
-004.650336, -003.984844, -000.665492, 0001.000000, 0041.000000, 0002.048000
-004.869313, -004.249093, -000.620220, 0001.000000, 0042.000000, 0002.098000
-005.070765, -004.495655, -000.575110, 0001.000000, 0043.000000, 0002.148000
-005.253968, -004.728569, -000.525399, 0001.000000, 0044.000000, 0002.198000
-005.418263, -004.941695, -000.476568, 0001.000000, 0045.000000, 0002.248000
-005.563058, -005.140478, -000.422579, 0001.000000, 0046.000000, 0002.298000
-005.687831, -005.317422, -000.370410, 0001.000000, 0047.000000, 0002.348000
-005.792135, -005.478683, -000.313452, 0001.000000, 0048.000000, 0002.398000
-005.875593, -005.616298, -000.259295, 0001.000000, 0049.000000, 0002.448000
-005.937906, -005.737935, -000.199971, 0001.000000, 0050.000000, 0002.498000
-005.978848, -005.834521, -000.144327, 0001.000000, 0051.000000, 0002.548000
-005.998273, -005.917452, -000.080822, 0001.000000, 0052.000000, 0002.598000
-005.996111, -005.973253, -000.022857, 0001.000000, 0053.000000, 0002.648000
-005.972369, -006.013585, 0000.041216, 0001.000000, 0054.000000, 0002.698000
-005.927133, -006.026511, 0000.099378, 0001.000000, 0055.000000, 0002.748000
-005.860566, -006.023348, 0000.162782, 0001.000000, 0056.000000, 0002.798000
-005.772907, -005.993778, 0000.220871, 0001.000000, 0057.000000, 0002.848000
-005.664472, -005.946866, 0000.282394, 0001.000000, 0058.000000, 0002.898000
-005.535651, -005.875684, 0000.340034, 0001.000000, 0059.000000, 0002.948000
-005.386907, -005.786283, 0000.399375, 0001.000000, 0060.000000, 0002.998000
-005.218777, -005.675653, 0000.456877, 0001.000000, 0061.000000, 0003.048000
-005.031864, -005.544938, 0000.513074, 0001.000000, 0062.000000, 0003.098000
-004.826843, -005.395505, 0000.568662, 0001.000000, 0063.000000, 0003.148000
-004.604449, -005.228628, 0000.624179, 0001.000000, 0064.000000, 0003.198000
-004.365485, -005.045496, 0000.680011, 0001.000000, 0065.000000, 0003.248000
-004.110810, -004.847216, 0000.736406, 0001.000000, 0066.000000, 0003.298000
-003.841340, -004.634818, 0000.793478, 0001.000000, 0067.000000, 0003.348000
-003.558046, -004.409266, 0000.851220, 0001.000000, 0068.000000, 0003.398000
-003.261946, -004.171454, 0000.909508, 0001.000000, 0069.000000, 0003.448000
